Job Title,Rating,Average Salary,State
other,4.2,99.0,CA
other,3.4,99.0,CA
data scientist,4.0,176.0,CA
analyst,3.4,176.0,CA
other,4.0,176.0,CA
manager,4.5,176.0,CA
manager,4.5,176.0,CA
other,3.9,176.0,CA
data scientist,3.6,176.0,CA
data engineer,4.0,176.0,CA
data scientist,5.0,176.0,CA
other,4.2,176.0,CA
data scientist,3.7,176.0,CA
analyst,3.8,176.0,CA
other,3.5,176.0,CA
other,3.6,176.0,CA
analyst,3.5,176.0,CA
analyst,3.8,176.0,CA
manager,3.1,176.0,CA
data scientist,3.2,176.0,CA
data scientist,3.6,176.0,CA
data engineer,3.8,176.0,CA
analyst,5.0,176.0,CA
data engineer,5.0,176.0,CA
data scientist,3.7,176.0,CA
data engineer,3.3,176.0,CA
other,3.3,176.0,CA
analyst,3.6,176.0,CA
data engineer,3.6,176.0,CA
other,3.8,176.0,CA
analyst,3.5,176.0,CA
data engineer,4.7,100.5,CA
analyst,4.6,100.5,CA
machine learning engineer,3.9,100.5,CA
other,4.1,100.5,CA
data scientist,4.2,100.5,CA
analyst,4.0,100.5,CA
analyst,3.7,100.5,CA
analyst,3.4,100.5,CA
analyst,3.6,100.5,CA
manager,4.5,100.5,CA
analyst,3.6,100.5,CA
other,3.8,100.5,CA
analyst,5.0,100.5,CA
analyst,4.3,100.5,CA
data scientist,1.6,100.5,CA
other,4.9,100.5,CA
analyst,4.0,100.5,CA
analyst,5.0,100.5,CA
data scientist,3.7,100.5,CA
other,3.7,100.5,CA
data engineer,5.0,100.5,CA
analyst,3.8,100.5,CA
data scientist,2.5,100.5,CA
analyst,4.0,100.5,CA
analyst,3.3,100.5,CA
data scientist,3.9,100.5,CA
data scientist,3.7,170.0,CA
data scientist,3.7,170.0,CA
analyst,3.8,170.0,CA
analyst,4.0,170.0,CA
data scientist,1.6,170.0,CA
machine learning engineer,3.8,170.0,CA
data scientist,3.6,170.0,CA
data scientist,3.7,170.0,CA
other,4.0,170.0,CA
analyst,3.5,170.0,CA
analyst,3.4,170.0,CA
data scientist,3.7,170.0,CA
other,4.4,170.0,CA
data engineer,4.4,170.0,CA
data engineer,3.6,170.0,CA
data scientist,4.9,170.0,CA
analyst,3.1,170.0,CA
analyst,5.0,170.0,CA
data scientist,3.9,170.0,CA
other,3.3,170.0,CA
analyst,3.4,170.0,CA
data engineer,3.7,170.0,CA
other,3.8,170.0,CA
analyst,3.9,170.0,CA
analyst,3.7,170.0,CA
other,3.4,170.0,CA
analyst,4.0,94.0,CA
data engineer,3.7,94.0,CA
other,3.9,94.0,CA
data scientist,3.7,94.0,CA
data engineer,4.0,94.0,CA
analyst,4.3,94.0,CA
machine learning engineer,3.2,94.0,CA
data engineer,3.9,94.0,CA
data scientist,3.7,94.0,CA
other,4.0,94.0,CA
analyst,3.6,94.0,CA
analyst,3.1,94.0,CA
analyst,4.7,94.0,CA
data engineer,4.0,94.0,CA
other,3.3,94.0,CA
data engineer,4.2,94.0,CA
data engineer,4.8,94.0,CA
machine learning engineer,4.2,94.0,CA
data scientist,5.0,94.0,CA
data scientist,3.2,94.0,CA
data scientist,3.3,94.0,CA
manager,2.5,94.0,CA
data engineer,2.0,94.0,CA
data engineer,4.1,94.0,CA
data engineer,5.0,109.0,CA
analyst,5.0,109.0,CA
other,3.6,109.0,CA
analyst,3.1,109.0,CA
data engineer,3.7,109.0,CA
data engineer,3.7,109.0,CA
analyst,4.0,109.0,CA
other,3.9,109.0,CA
other,4.0,109.0,CA
analyst,3.1,109.0,CA
analyst,3.7,109.0,CA
data scientist,3.6,109.0,CA
analyst,2.8,53.0,CA
data scientist,3.7,53.0,CA
other,3.9,53.0,CA
other,4.7,53.0,CA
other,3.4,53.0,CA
analyst,3.0,53.0,CA
data engineer,3.9,53.0,CA
data engineer,3.7,53.0,CA
other,2.6,53.0,CA
data engineer,3.9,53.0,CA
data engineer,2.4,53.0,CA
manager,4.0,53.0,CA
data engineer,2.7,53.0,CA
other,3.2,53.0,CA
other,3.5,53.0,CA
analyst,3.3,53.0,CA
other,4.3,53.0,CA
other,3.6,53.0,CA
analyst,3.2,56.0,CA
machine learning engineer,5.0,56.0,CA
analyst,4.9,56.0,CA
other,3.7,56.0,CA
analyst,3.5,56.0,CA
other,3.7,56.0,CA
analyst,3.8,56.0,CA
other,3.7,56.0,CA
other,2.6,56.0,CA
manager,2.8,56.0,CA
data engineer,4.3,56.0,CA
analyst,4.1,56.0,CA
data scientist,3.6,56.0,CA
analyst,3.2,56.0,CA
other,3.4,56.0,CA
data engineer,3.7,56.0,CA
other,4.2,56.0,CA
analyst,4.7,56.0,CA
analyst,2.8,148.5,CA
data scientist,3.6,148.5,CA
other,3.1,148.5,CA
analyst,4.1,148.5,CA
manager,3.8,148.5,CA
machine learning engineer,3.7,148.5,CA
data scientist,3.2,148.5,CA
analyst,3.5,148.5,CA
other,3.2,148.5,CA
other,3.9,148.5,CA
analyst,3.8,148.5,CA
other,4.6,148.5,CA
analyst,2.9,148.5,CA
other,3.8,148.5,CA
other,2.8,148.5,CA
data engineer,5.0,148.5,CA
analyst,4.5,148.5,CA
other,4.1,148.5,CA
data engineer,3.9,148.5,CA
analyst,3.4,148.5,CA
data engineer,3.7,148.5,CA
other,3.7,148.5,CA
other,3.7,148.5,CA
data scientist,3.3,148.5,CA
other,3.9,148.5,CA
analyst,4.7,148.5,CA
data engineer,3.4,148.5,CA
analyst,3.2,148.5,CA
analyst,4.3,150.0,CA
analyst,3.6,150.0,CA
manager,2.4,150.0,CA
analyst,4.2,150.0,CA
data scientist,4.4,150.0,CA
data engineer,2.9,150.0,CA
manager,3.5,150.0,CA
manager,3.6,150.0,CA
machine learning engineer,3.7,150.0,CA
data engineer,5.0,150.0,CA
analyst,2.4,150.0,CA
analyst,4.6,150.0,CA
machine learning engineer,4.4,150.0,CA
other,3.9,150.0,CA
analyst,5.0,150.0,CA
data engineer,4.7,150.0,CA
other,2.7,150.0,CA
analyst,3.0,150.0,CA
data engineer,2.1,150.0,CA
other,3.9,150.0,CA
data engineer,3.3,150.0,CA
data scientist,3.8,63.0,IL
data scientist,4.1,63.0,IL
data engineer,3.7,63.0,IL
analyst,3.8,63.0,IL
analyst,3.9,63.0,IL
data engineer,3.9,63.0,IL
data engineer,3.3,63.0,IL
data scientist,4.3,63.0,IL
data engineer,3.9,63.0,IL
analyst,3.7,63.0,IL
analyst,3.5,63.0,IL
analyst,4.1,63.0,IL
data engineer,4.5,63.0,IL
researcher,3.8,63.0,IL
data scientist,2.2,63.0,IL
analyst,3.7,63.0,IL
data scientist,3.4,63.0,IL
data scientist,3.4,63.0,IL
data scientist,4.2,63.0,IL
data scientist,5.0,63.0,IL
researcher,4.1,63.0,IL
analyst,3.0,63.0,IL
data scientist,3.2,63.0,IL
data scientist,3.6,63.0,IL
data scientist,3.3,63.0,IL
data scientist,4.9,63.0,IL
analyst,3.2,63.0,IL
data scientist,3.4,63.0,IL
data scientist,4.7,63.0,IL
data scientist,3.0,63.0,IL
data scientist,3.8,104.5,IL
data scientist,3.6,104.5,IL
data scientist,3.9,104.5,IL
data scientist,3.2,104.5,IL
analyst,2.8,104.5,IL
data scientist,3.8,104.5,IL
data scientist,4.3,104.5,IL
data scientist,4.7,104.5,IL
researcher,3.8,104.5,IL
data scientist,5.0,104.5,IL
data scientist,4.2,104.5,IL
data scientist,4.0,104.5,IL
data scientist,3.8,104.5,IL
data scientist,2.6,104.5,IL
data scientist,2.7,104.5,IL
other,4.6,104.5,IL
data scientist,3.8,104.5,IL
data scientist,3.5,104.5,IL
data scientist,4.1,104.5,IL
data engineer,3.8,104.5,IL
data scientist,2.8,104.5,IL
data scientist,4.2,104.5,IL
data scientist,3.5,104.5,IL
data engineer,4.7,104.5,IL
data scientist,4.3,104.5,IL
data scientist,3.8,104.5,IL
analyst,3.8,104.5,IL
data scientist,3.1,98.0,IL
data scientist,3.8,98.0,IL
data scientist,3.8,98.0,IL
data scientist,3.2,98.0,IL
other,3.9,98.0,IL
data scientist,2.6,98.0,IL
data scientist,1.6,98.0,IL
data scientist,2.7,98.0,IL
data scientist,4.0,98.0,IL
data scientist,3.7,98.0,IL
data scientist,3.3,98.0,IL
data scientist,4.7,98.0,IL
data scientist,2.9,98.0,IL
data scientist,3.5,98.0,IL
data scientist,3.6,98.0,IL
analyst,3.7,98.0,IL
data scientist,4.5,98.0,IL
data scientist,3.9,98.0,IL
machine learning engineer,3.3,98.0,IL
data scientist,3.3,98.0,IL
analyst,3.8,98.0,IL
data scientist,2.8,98.0,IL
data scientist,3.6,98.0,IL
data scientist,3.7,98.0,IL
data scientist,4.5,98.0,IL
researcher,3.9,98.0,IL
data scientist,3.4,98.0,IL
other,4.0,98.0,IL
data scientist,3.5,43.5,IL
